                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
142,1.2536,0.84012,1.0186,0.59132,0.47914,0.506,0.31364,1.2477,0.87535,1.0253,0.0065102,0.0065102,0.0065102
143,1.2538,0.84199,1.0184,0.59178,0.47835,0.50576,0.31345,1.2479,0.87529,1.0253,0.0064855,0.0064855,0.0064855
144,1.2483,0.84106,1.0198,0.59184,0.47935,0.50601,0.31364,1.2479,0.875,1.0252,0.0064608,0.0064608,0.0064608
145,1.2518,0.83993,1.0206,0.59069,0.47886,0.50582,0.31345,1.2477,0.87492,1.0251,0.006436,0.006436,0.006436
146,1.2542,0.84123,1.0189,0.59004,0.47903,0.50603,0.31369,1.2474,0.8745,1.0249,0.0064112,0.0064112,0.0064112
147,1.2474,0.83757,1.0189,0.59053,0.47848,0.50574,0.31361,1.2474,0.8745,1.0249,0.0063865,0.0063865,0.0063865
148,1.2502,0.8372,1.0178,0.58794,0.4812,0.50592,0.31391,1.2475,0.87444,1.0249,0.0063618,0.0063618,0.0063618
149,1.2492,0.83446,1.0189,0.58732,0.48274,0.50607,0.31366,1.2474,0.87425,1.0249,0.006337,0.006337,0.006337
150,1.2547,0.83513,1.0192,0.58628,0.48213,0.50573,0.31332,1.2473,0.87398,1.0248,0.0063122,0.0063122,0.0063122
151,1.2446,0.83237,1.0186,0.58563,0.48227,0.50602,0.31332,1.2471,0.87394,1.0247,0.0062875,0.0062875,0.0062875
152,1.2465,0.83155,1.0177,0.58546,0.48246,0.50628,0.31344,1.2471,0.87372,1.0247,0.0062628,0.0062628,0.0062628
153,1.2411,0.83062,1.0181,0.58659,0.48193,0.5065,0.31371,1.2468,0.8735,1.0246,0.006238,0.006238,0.006238
154,1.2462,0.82779,1.015,0.58786,0.48202,0.50655,0.31389,1.2468,0.87316,1.0245,0.0062132,0.0062132,0.0062132
155,1.2404,0.8262,1.016,0.59083,0.48028,0.50685,0.31417,1.2465,0.87304,1.0244,0.0061885,0.0061885,0.0061885
156,1.2424,0.82944,1.017,0.59132,0.48115,0.50739,0.31438,1.2467,0.87279,1.0245,0.0061637,0.0061637,0.0061637
157,1.2386,0.82316,1.0162,0.59268,0.48025,0.50773,0.31487,1.2464,0.87264,1.0243,0.006139,0.006139,0.006139
158,1.2355,0.8223,1.0137,0.59305,0.4797,0.50754,0.31486,1.2462,0.8722,1.0243,0.0061142,0.0061142,0.0061142
159,1.2376,0.81998,1.014,0.5926,0.47997,0.50804,0.31521,1.2459,0.87187,1.0241,0.0060895,0.0060895,0.0060895
160,1.24,0.8202,1.0131,0.59324,0.48017,0.50811,0.31513,1.2458,0.87163,1.024,0.0060647,0.0060647,0.0060647
161,1.2381,0.8182,1.0111,0.5956,0.47986,0.50854,0.31527,1.2458,0.8714,1.0239,0.00604,0.00604,0.00604
162,1.2402,0.81768,1.0133,0.59149,0.48165,0.50875,0.31512,1.2457,0.87121,1.0239,0.0060152,0.0060152,0.0060152
163,1.236,0.81695,1.0113,0.59153,0.48138,0.509,0.31523,1.2455,0.87081,1.0238,0.0059905,0.0059905,0.0059905
164,1.232,0.81359,1.0116,0.58887,0.48364,0.50914,0.31548,1.2456,0.87035,1.0238,0.0059658,0.0059658,0.0059658
165,1.2291,0.80939,1.0118,0.58939,0.48357,0.50945,0.31568,1.2452,0.87017,1.0238,0.005941,0.005941,0.005941
166,1.2305,0.81132,1.011,0.59057,0.48231,0.50899,0.31561,1.2451,0.8701,1.0238,0.0059163,0.0059163,0.0059163
167,1.2257,0.80696,1.0096,0.59067,0.48171,0.509,0.31554,1.2449,0.86997,1.0237,0.0058915,0.0058915,0.0058915
168,1.23,0.80681,1.013,0.58961,0.48362,0.50955,0.31573,1.245,0.86961,1.0237,0.0058668,0.0058668,0.0058668
169,1.2316,0.80616,1.0097,0.58901,0.48425,0.50957,0.31594,1.2447,0.86953,1.0236,0.005842,0.005842,0.005842
170,1.2319,0.80869,1.0104,0.58829,0.48404,0.5095,0.31582,1.2447,0.86945,1.0237,0.0058173,0.0058173,0.0058173
